"enrollee_id","city","city_development_index","gender","relevant_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target","quality","na_count"
666,"city_162",0.767,"Male","Yes","No","Masters","STEM",">20","50-99","Funded Startup","4",8,"Target.No",0,0
21651,"city_176",0.764,"Missing","Yes","Part-Time","Graduate","STEM","11","Unknown","Other","1",24,"Target.Yes",3,3
8722,"city_21",0.624,"Missing","No","Full-Time","High School","Other","5","Unknown","Other","never",26,"Target.No",4,4
5764,"city_21",0.624,"Missing","Yes","No","Graduate","STEM","2","5000-9999","Pvt Ltd","2",7,"Target.No",1,1
7041,"city_40",0.776,"Male","Yes","No","Graduate","Other","<1","1000-4999","Pvt Ltd","1",65,"Target.No",0,0
10408,"city_21",0.624,"Male","Yes","No","Graduate","STEM","18","50-99","Funded Startup","2",68,"Target.Yes",0,0
4324,"city_103",0.92,"Female","No","Full-Time","Graduate","STEM","5","Unknown","Other","1",24,"Target.No",2,2
26966,"city_160",0.92,"Female","Yes","No","Graduate","STEM",">20","100-500","Pvt Ltd",">4",82,"Target.No",0,0
13643,"city_64",0.666,"Missing","No","No","Graduate","Other","9","50-99","Pvt Ltd","never",108,"Target.No",1,1
5568,"city_101",0.558,"Male","No","No","Graduate","STEM","4","Unknown","Other","1",92,"Target.Yes",2,2
28512,"city_104",0.924,"Missing","Yes","No","Masters","STEM","3","<10","Early Stage Startup","2",7,"Target.No",1,1
1023,"city_114",0.926,"Male","No","Full-Time","High School","Other","4","10000+","Pvt Ltd","1",43,"Target.No",1,1
18578,"city_162",0.767,"Male","Yes","No","Graduate","Other",">20","100-500","Pvt Ltd",">4",26,"Target.Yes",0,0
29975,"city_67",0.855,"Male","Yes","Part-Time","Graduate","STEM","6","Unknown","Other","1",90,"Target.No",2,2
26516,"city_75",0.939,"Male","Yes","No","Graduate","STEM","6","100-500","Pvt Ltd","3",25,"Target.No",0,0
8433,"city_100",0.887,"Male","Yes","No","Masters","Other",">20","100-500","Pvt Ltd",">4",48,"Target.No",0,0
5878,"city_93",0.865,"Male","Yes","No","Graduate","STEM","10","50-99","Pvt Ltd","2",142,"Target.Yes",0,0
9645,"city_16",0.91,"Male","Yes","No","Graduate","STEM","15","Unknown","Other",">4",47,"Target.No",2,2
20970,"city_64",0.666,"Male","Yes","No","Graduate","STEM",">20","Unknown","Other","4",22,"Target.No",2,2
22134,"city_103",0.92,"Male","No","No","Graduate","Other","3","100-500","Pvt Ltd","1",35,"Target.No",0,0
21762,"city_160",0.92,"Male","Yes","No","Graduate","STEM",">20","50-99","Pvt Ltd","2",108,"Target.No",0,0
5902,"city_20",0.796,"Missing","Yes","Part-Time","Masters","STEM","4","50-99","Funded Startup","1",74,"Target.No",1,1
28751,"city_103",0.92,"Missing","No","Full-Time","High School","Other","4","Unknown","Other","3",75,"Target.No",4,4
29290,"city_152",0.698,"Male","No","Full-Time","Masters","STEM","11","Unknown","Public Sector","2",42,"Target.No",1,1
29036,"city_16",0.91,"Male","No","No","High School","Other","3","Unknown","Other","never",182,"Target.No",3,3
16869,"city_103",0.92,"Female","No","No","Graduate","Other","3","100-500","Pvt Ltd","1",13,"Target.Yes",0,0
18099,"city_103",0.92,"Missing","Yes","No","Graduate","STEM","10","100-500","NGO","1",48,"Target.No",1,1
7364,"city_160",0.92,"Missing","No","Full-Time","High School","Other","2","100-500","Pvt Ltd","1",142,"Target.No",2,2
8695,"city_11",0.55,"Male","Yes","No","Graduate","STEM","6","10-49","Pvt Ltd","2",27,"Target.Yes",0,0
18257,"city_103",0.92,"Female","Yes","No","Graduate","STEM","11","500-999","NGO",">4",20,"Target.No",0,0
1180,"city_16",0.91,"Male","Yes","No","Graduate","STEM","12","5000-9999","Pvt Ltd","1",52,"Target.No",0,0
27963,"city_98",0.949,"Male","No","Full-Time","Graduate","STEM","4","Unknown","Other","1",160,"Target.Yes",2,2
14199,"city_160",0.92,"Male","Yes","Part-Time","Graduate","Other","10","50-99","Funded Startup","1",260,"Target.No",1,0
7666,"city_21",0.624,"Female","Yes","No","Graduate","STEM","11","50-99","Pvt Ltd",">4",74,"Target.No",0,0
13915,"city_16",0.91,"Male","Yes","No","Phd","STEM",">20","100-500","Pvt Ltd","2",20,"Target.Yes",0,0
10555,"city_173",0.878,"Male","Yes","No","Graduate","STEM","12","100-500","Pvt Ltd","2",8,"Target.No",0,0
32826,"city_138",0.836,"Male","Yes","Full-Time","Masters","STEM","7","Unknown","Other","1",45,"Target.No",2,2
3921,"city_36",0.893,"Missing","No","No","Phd","STEM",">20","1000-4999","Public Sector",">4",4,"Target.No",1,1
24530,"city_114",0.926,"Male","No","No","Graduate","STEM","12","100-500","Pvt Ltd",">4",7,"Target.No",0,0
3116,"city_21",0.624,"Male","No","No","Graduate","Other","3","Unknown","Other","1",24,"Target.No",4,4
1265,"city_103",0.92,"Male","Yes","No","Graduate","STEM","10","<10","Funded Startup","1",76,"Target.No",0,0
13342,"city_21",0.624,"Female","Yes","No","Graduate","Other","8","5000-9999","Pvt Ltd","2",34,"Target.No",0,0
7777,"city_114",0.926,"Missing","Yes","No","Masters","STEM",">20","Unknown","Other","never",120,"Target.No",3,3
1261,"city_73",0.754,"Male","Yes","No","Graduate","STEM","12","Unknown","Other","2",100,"Target.Yes",2,2
4283,"city_103",0.92,"Male","No","No","High School","Other","4","Unknown","Other","never",52,"Target.No",3,3
18998,"city_114",0.926,"Missing","Yes","No","High School","Other","9","10-49","Other","4",39,"Target.No",3,3
13333,"city_75",0.939,"Missing","Yes","No","Graduate","STEM",">20","Unknown","Other","never",326,"Target.No",5,3
26241,"city_103",0.92,"Male","Yes","No","Graduate","Other",">20","100-500","Pvt Ltd","2",33,"Target.No",0,0
4064,"city_160",0.92,"Missing","Yes","No","Graduate","STEM","18","Unknown","Other","1",198,"Target.Yes",4,3
31033,"city_16",0.91,"Missing","No","Full-Time","High School","Other","3","Unknown","Other","1",8,"Target.No",4,4
23508,"city_103",0.92,"Male","Yes","No","Masters","STEM","9","10-49","Pvt Ltd","1",22,"Target.No",0,0
12297,"city_175",0.776,"Missing","Yes","Full-Time","Graduate","STEM","4","10-49","Funded Startup","1",11,"Target.No",1,1
907,"city_103",0.92,"Female","Yes","No","Graduate","STEM",">20","50-99","Pvt Ltd",">4",72,"Target.No",0,0
7731,"city_65",0.802,"Male","Yes","No","Graduate","STEM","13","Unknown","Other","never",84,"Target.No",2,2
31943,"city_71",0.884,"Male","Yes","No","Graduate","STEM",">20","100-500","Early Stage Startup","2",32,"Target.No",0,0
18272,"city_160",0.92,"Missing","Yes","Full-Time","Graduate","Other",">20","Unknown","Other",">4",90,"Target.Yes",3,3
30098,"city_103",0.92,"Male","Yes","No","Masters","Other",">20","100-500","Pvt Ltd",">4",8,"Target.No",0,0
5573,"city_160",0.92,"Missing","No","No","Primary School","Other","4","Unknown","Pvt Ltd","never",50,"Target.No",3,3
19249,"city_103",0.92,"Male","Yes","No","Graduate","STEM","6","50-99","Pvt Ltd","1",83,"Target.No",0,0
20881,"city_28",0.939,"Male","Yes","No","Masters","STEM","10","1000-4999","Pvt Ltd","1",114,"Target.No",0,0
2821,"city_114",0.926,"Male","Yes","No","Masters","STEM","15","100-500","Pvt Ltd","2",8,"Target.No",0,0
21216,"city_173",0.878,"Missing","No","No","Graduate","STEM","5","Unknown","Other","1",28,"Target.No",3,3
25495,"city_142",0.727,"Female","Yes","No","Graduate","STEM","9","100-500","Funded Startup",">4",37,"Target.No",0,0
20791,"city_16",0.91,"Missing","No","Full-Time","Graduate","STEM","2","Unknown","Other","2",108,"Target.Yes",3,3
33050,"city_165",0.903,"Missing","Yes","No","Graduate","STEM","17","10000+","Pvt Ltd","2",12,"Target.No",1,1
8751,"city_103",0.92,"Male","Yes","No","Graduate","STEM","6","100-500","Public Sector","1",11,"Target.No",0,0
20744,"city_103",0.92,"Male","No","Full-Time","High School","Other","3","10000+","Pvt Ltd","1",30,"Target.No",1,1
13083,"city_114",0.926,"Male","Yes","No","Masters","STEM","10","50-99","Pvt Ltd",">4",29,"Target.No",0,0
12454,"city_21",0.624,"Missing","Yes","Full-Time","Masters","STEM","4","50-99","NGO","2",210,"Target.No",2,1
3500,"city_103",0.92,"Other","No","Part-Time","High School","Other","6","50-99","Funded Startup","1",54,"Target.No",1,1
6685,"city_16",0.91,"Male","Yes","No","Graduate","STEM","15","Unknown","Other",">4",47,"Target.No",2,2
6189,"city_36",0.893,"Missing","No","No","Graduate","Other","2","50-99","Pvt Ltd","1",110,"Target.No",1,1
20732,"city_64",0.666,"Other","No","No","Graduate","STEM",">20","50-99","Pvt Ltd",">4",23,"Target.Yes",0,0
24152,"city_83",0.923,"Male","No","No","Masters","STEM","3","10000+","Pvt Ltd","never",30,"Target.No",0,0
9407,"city_114",0.926,"Male","Yes","No","High School","Other","7","50-99","Pvt Ltd",">4",110,"Target.No",1,1
13152,"city_103",0.92,"Male","Yes","No","Graduate","STEM","13","50-99","Funded Startup","1",96,"Target.No",0,0
5104,"city_75",0.939,"Male","Yes","No","Masters","STEM","7","Unknown","Other","1",16,"Target.Yes",2,2
25290,"city_173",0.878,"Missing","Yes","No","High School","Other","<1","100-500","Pvt Ltd","1",29,"Target.No",2,2
31692,"city_160",0.92,"Male","Yes","Full-Time","Graduate","STEM",">20","10000+","Pvt Ltd","1",40,"Target.No",0,0
18161,"city_145",0.555,"Missing","No","Full-Time","Graduate","STEM","4","Unknown","Other","1",106,"Target.No",3,3
28847,"city_136",0.897,"Male","Yes","No","Masters","STEM","7","Unknown","Other","never",20,"Target.No",2,2
22395,"city_21",0.624,"Male","Yes","No","Masters","STEM","3","Unknown","Public Sector","1",129,"Target.Yes",1,1
4876,"city_67",0.855,"Female","Yes","No","Masters","STEM","10","Unknown","Other","1",42,"Target.No",2,2
7517,"city_103",0.92,"Missing","No","No","High School","Other","4","Unknown","Other","1",45,"Target.Yes",4,4
2793,"city_83",0.923,"Male","Yes","No","Graduate","STEM",">20","10-49","Pvt Ltd",">4",166,"Target.No",0,0
5593,"city_103",0.92,"Male","Yes","Full-Time","Graduate","STEM",">20","Unknown","Other","1",37,"Target.No",2,2
14003,"city_102",0.804,"Female","Yes","Part-Time","Graduate","STEM","2","Unknown","Other","1",95,"Target.Yes",2,2
